state,region,pop,poplt5,pop5_17,pop18p,pop65p,popurban,medage,death,marriage,divorce
Alabama,3,3893888,296412,865836,2731640,440015,2337713,29.2999992370606,35305,49018,26745
Alaska,4,401851,38949,91796,271106,11547,258567,26.1000003814697,1604,5361,3517
Arizona,4,2718215,213883,577604,1926728,307362,2278728,29.2000007629395,21226,30223,19908
Arkansas,3,2286435,175592,495782,1615061,312477,1179556,30.6000003814697,22676,26513,15882
California,4,23667902,1708400,4680558,17278944,2414250,21607606,29.8999996185303,186428,210864,133541
Colorado,4,2889964,216495,592318,2081151,247325,2329869,28.6000003814697,18925,34917,18571
Connecticut,1,3107576,185188,637731,2284657,364864,2449774,32,26005,26048,13488
Delaware,3,594338,41151,125444,427743,59179,419819,29.7999992370606,5123,4437,2313
Florida,3,9746324,570224,1789412,7386688,1687573,8212385,34.7000007629395,104190,108344,71579
Georgia,3,5463105,414935,1231195,3816975,516731,3409081,28.7000007629395,44230,70638,34743
Hawaii,4,964691,77848,197735,689108,76150,834592,28.3999996185303,4849,11856,4438
Idaho,4,943935,93531,213134,637270,93680,509702,27.6000003814697,6753,13428,6596
Illinois,2,11426518,842241,2400796,8183481,1261885,9518039,29.8999996185303,102230,109823,50997
Indiana,2,5490224,418764,1199554,3871906,585384,3525298,29.2000007629395,47300,57853,40006
Iowa,2,2913808,221628,604245,2087935,387584,1708232,30,26348,27474,11854
Kansas,2,2363679,180877,468158,1714644,306263,1575899,30.1000003814697,21910,24847,13410
Kentucky,3,3660777,282731,799999,2578047,409828,1862183,29.1000003814697,33765,32727,16731
Louisiana,3,4205900,361533,968935,2875432,404279,2887309,27.3999996185303,35518,43460,18108
Maine,1,1124660,78514,242873,803273,140918,534072,30.3999996185303,10768,12040,6205
Maryland,3,4216975,272274,895256,3049445,395609,3386555,30.2999992370606,34025,46278,17494
Massachusetts,1,5737037,337215,1153174,4246648,726531,4808339,31.2000007629395,54919,46273,17873
Michigan,2,9262078,685113,2066873,6510092,912258,6551551,28.7999992370606,75102,86898,45047
Minnesota,2,4075970,307249,864559,2904162,479564,2725202,29.2000007629395,33412,37641,15371
Mississippi,3,2520638,215279,598918,1706441,289357,1192805,27.7000007629395,23570,27908,13846
Missouri,2,4916686,354144,1008339,3554203,648126,3349588,30.8999996185303,49329,54625,27595
Montana,4,786690,64455,167440,554795,84559,416402,29,6664,8336,4940
Nebraska,2,1569825,122946,324224,1122655,205684,987859,29.7000007629395,14465,14239,6442
Nevada,4,800493,56132,159667,584694,65756,682947,30.2000007629395,5852,114333,13842
New Hampshire,1,920610,62512,195570,662528,102967,480325,30.1000003814697,7594,9251,5254
New Jersey,1,7364823,463289,1527572,5373962,859771,6557377,32.2000007629395,68762,55794,27796
New Mexico,4,1302894,114731,303176,884987,115906,939963,27.3999996185303,9016,16641,10426
New York,1,17558072,1135925,3551938,12870209,2160767,14858068,31.8999996185303,171769,144518,61972
N. Carolina,3,5881766,404076,1253659,4224031,603181,2822852,29.6000003814697,48426,46718,28050
N. Dakota,2,652717,54752,136239,461726,80445,318310,28.2999992370605,5596,6094,2142
Ohio,2,10797630,787150,2307170,7703310,1169460,7918259,29.8999996185303,98268,99832,58809
Oklahoma,3,3025290,233307,621577,2170406,376126,2035082,30.1000003814697,28227,46509,24226
Oregon,4,2633105,198046,525011,1910048,303336,1788354,30.2000007629395,21756,23004,17762
Pennsylvania,1,11863895,747458,2375838,8740599,1530933,8220851,32.0999984741211,123261,93673,34922
Rhode Island,1,947154,56692,186159,704303,126922,824004,31.7999992370606,9300,7490,3606
S. Carolina,3,3121820,238516,703450,2179854,287328,1689253,28.1000003814697,25138,53915,13595
S. Dakota,2,690768,58446,147160,485162,91019,320777,28.8999996185303,6523,8800,2811
Tennessee,3,4591120,326088,972472,3292560,517588,2773573,30.1000003814697,40713,59175,30206
Texas,3,14229191,1169061,3137045,9923085,1371161,11333017,28.2000007629395,108019,181762,96809
Utah,4,1461037,189962,350143,920932,109220,1233060,24.2000007629395,8103,16958,7802
Vermont,1,511456,35998,109320,366138,58166,172735,29.3999996185303,4587,5226,2623
Virginia,3,5346818,360686,1113648,3872484,505304,3529423,29.7999992370606,42496,60210,23615
Washington,4,4132156,306123,833237,2992796,431562,3037014,29.7999992370606,32012,47728,28642
W. Virginia,3,1949644,145583,414053,1390008,237868,705319,30.3999996185303,19186,17391,10273
Wisconsin,2,4705767,346940,1010880,3347947,564197,3020732,29.3999996185303,39255,41111,17546
Wyoming,4,469557,44845,100708,324004,37175,294639,27.1000003814697,3215,6868,4003
