"YEAR"	"Y"	"W"	"R"	"L"	"K"
"1"	1948	1.21399998664856	0.243000000715256	0.145400002598763	1.41499996185303	0.611999988555908
"2"	1949	1.35399997234344	0.259999990463257	0.218099996447563	1.38399994373322	0.559000015258789
"3"	1950	1.56900000572205	0.277999997138977	0.315699994564056	1.38800001144409	0.573000013828278
"4"	1951	1.94799995422363	0.296999990940094	0.393999993801117	1.54999995231628	0.564000010490417
"5"	1952	2.26500010490417	0.310000002384186	0.35589998960495	1.80200004577637	0.574000000953674
"6"	1953	2.73099994659424	0.321999996900558	0.35929998755455	1.92599999904633	0.711000025272369
"7"	1954	3.02500009536743	0.33500000834465	0.402500003576279	1.96399998664856	0.776000022888184
"8"	1955	3.56200003623962	0.349999994039536	0.396100014448166	2.1159999370575	0.827000021934509
"9"	1956	3.97900009155273	0.361000001430511	0.382200002670288	2.43499994277954	0.800000011920929
"10"	1957	4.42000007629395	0.379000008106232	0.304500013589859	2.70700001716614	0.921000003814697
"11"	1958	4.56300020217896	0.391000002622604	0.328399986028671	2.70600008964539	1.06700003147125
"12"	1959	5.38500022888184	0.425999999046326	0.385600000619888	2.84599995613098	1.08299994468689
"13"	1960	5.55399990081787	0.441000014543533	0.3192999958992	3.08899998664856	1.48099994659424
"14"	1961	5.46500015258789	0.46000000834465	0.307900011539459	3.12199997901917	1.73599994182587
"15"	1962	5.82499980926514	0.485000014305115	0.37830001115799	3.18400001525879	1.92599999904633
"16"	1963	6.87599992752075	0.505999982357025	0.418000012636185	3.26300001144409	2.04099988937378
"17"	1964	7.82299995422363	0.537999987602234	0.516300022602081	3.41199994087219	1.99699997901917
"18"	1965	9.11999988555908	0.564000010490417	0.58789998292923	3.62299990653992	2.25699996948242
"19"	1966	10.5120000839233	0.586000025272369	0.536899983882904	4.07399988174438	2.74200010299683
"20"	1967	13.0200004577637	0.621999979019165	0.4442999958992	4.71000003814697	3.56399989128113
"21"	1968	15.2609996795654	0.666000008583069	0.305200010538101	5.21700000762939	4.76700019836426
"22"	1969	16.3129997253418	0.731000006198883	0.233199998736382	5.56899976730347	6.51100015640259
"23"	1970	16.0020008087158	0.830999970436096	0.188299998641014	5.49499988555908	7.6269998550415
"24"	1971	15.8760004043579	0.906000018119812	0.202299997210503	5.33400011062622	8.67300033569336
"25"	1972	16.6620006561279	1	0.250600010156631	5.34499979019165	8.33100032806396
"26"	1973	17.0139999389648	1.05599999427795	0.266799986362457	5.66200017929077	8.55700016021729
"27"	1974	19.3050003051758	1.13100004196167	0.266400009393692	5.72900009155273	9.50800037384033
"28"	1975	18.7210006713867	1.24699997901917	0.230100005865097	5.72200012207031	9.0620002746582
"29"	1976	19.25	1.375	0.345200002193451	5.76200008392334	8.26200008392334
"30"	1977	20.6469993591309	1.5440000295639	0.450800001621246	5.8769998550415	7.47399997711182
"31"	1978	22.7259998321533	1.70299994945526	0.587700009346008	6.10799980163574	7.10400009155273
"32"	1979	23.6189994812012	1.77900004386902	0.534600019454956	6.85200023651123	6.87400007247925
